投资标的,reg_num,fund_code,所属策略,投资属性,可投状态
相聚芒格一期,S83001,179000347639,股票,50池,
远望角投资1期,S27518,179000384297,股票,50池,
同犇智慧1号,SJ3438,179000336002,股票,50池,
东方点赞12号,SCZ512,179000155550,股票,50池,
石锋资产厚积一号,S85909,179000353050,股票,50池,
明汯稳健增长1期A,S23373,179000385036,股票,50池,
明汯稳健增长2期1号,SK5676,179000336284,股票,50池,
景林丰收2号,S20173,179000385902,股票,50池,
明河优质企业,S21179,179000386289,股票,50池,
泓澄优选10号,SCD842,179000185348,股票,50池,
泰旸创新成长2号,SE6661,179000362274,股票,50池,
中欧瑞博7期成长价值基金,S21264,179000386272,股票,50池,
聚鸣多策略7号,SEE572,179000321230,股票,50池,
无量9期私募证券投资基金,SS3633,179000358282,股票,50池,
睿泉成长5号,SLG013,179000263816,股票,50池,
循远成长一号,S80396,179000349853,股票,50池,
泾溪中国优质成长5号,SGM234,179000323171,股票,50池,
鸣石春天十三号,SX2090,179000358225,股票,50池,
因诺天丰1号私募基金,SS8359,179000319990,股票,50池,
仁桥泽源2期,SER687,179000334006,股票,50池,
弘酬安盈2号,SCL437,179000147013,股票,弘酬产品,
弘酬安盈3号,SEG833,179000186882,股票,弘酬产品,
弘酬安兴,SEG904,179000237356,股票,弘酬产品,
弘酬安盈东北证券融耀8号,SL5225,179000256951,股票,弘酬产品,
朋锦永宁,SGN254,179000151949,股票,50池,
沣杨锦绣3号,SEF811,179000240870,股票,弘酬产品,
思勰投资金兴混合一号,SLG770,179000268059,股票,特殊审批,
河床创新成长基金,SM5863,179000374981,股票,特殊审批,
宏量鼎诚私募证券投资基金,SGQ716,179000272991,套利,50池,
华赢7号牧鑫1期,SR8356,179000189546,套利,50池,
弘源星原1号,SGN961,179000332077,套利,50池,
上海泓倍三号投资基金,SH3600,179000377324,套利,50池,
展弘稳进1号9期,SCL843,179000322915,套利,50池,
福瑞福元壹号,SY2460,179000321758,套利,50池,
福瑞福元贰号,SEY516,179000323040,套利,50池,
平石U3期权对冲私募证券投资基金,SJN347,179000256304,套利,50池,
大岩定晖,SJW379,179000383778,事件驱动,50池,
衍盛量化精选一期,SEQ819,179000260662,中性,50池,
金锝16号,SY9754,179000154203,中性,50池,
明汯中性融汇1号,SCY785,179000153912,中性,50池,
因诺天机48号私募证券投资基金,SJW583,179000264274,中性,50池,
启林市场中性20号私募证券投资基金,SJD008,179000261798,中性,50池,
启林量化对冲多策略1号,SGQ358,179000161735,中性,50池,
因诺天机46号私募证券投资基金,SGY822,179000265695,中性,50池,
稳博创新一号私募证券投资基金,SLJ648,179000314129,中性,50池,
明汯多策略对冲1号基金5期,SLJ358,179000266663,中性,50池,
幻方量化专享2号2期,SGW146,179000178177,中性,特殊审批,
九章量化对冲7号,SGK235,179000158258,中性,特殊审批,
中量投CTA一号私募基金,SEH218,179000271680,CTA,50池,
黑翼CTA三号A,SD8740,179000337705,CTA,50池,
蓝色天际-宽宏1号证券投资基金,S25566,179000385713,CTA,50池,
思齐三十四号,SY5272,179000197674,CTA,50池,
黑翼CTA-T2私募证券投资基金,SJQ603,179000258071,CTA,50池,
元盛中国多元化金选五号,SES029,179000147216,CTA,50池,
黑翼策略精选2号,SGX821,179000357366,CTA,50池,
均成宏观对冲一号,SNC604,179000379906,CTA,50池,
盛冠达CTA基本面量化1号,SGJ566,179000230278,CTA,50池,
明汯CTA白羊二号,SR0001,179000241318,CTA,50池,
明世伙伴胜杯28号,SJK828,179000264693,股票,特殊审批,
